id,sort,hitokoto,from,from_who,creator,created_at
1,Animation,与众不同的生活方式很累人呢，因为找不到借口。,幸运星,,跳舞的果果,1468605909.0
2,Animation,面对就好，去经历就好。,花伞菌,,umbrella,1468605909.0
3,Animation,将愿望倾入不愿忘却的回忆中……,ef-a tale of memories,,lqsasa,1468605909.0
4,Animation,美好的人眼里映出的世界也是美好的。,ARIA,,misaki,1468605909.0
5,Animation,看似美好的东西，往往藏着陷阱。,只有神知道的世界,,紫月岚,1468605909.0
7,Animation,恋ではなく、爱でもなく、もっとずっと 深く重い。,sweet   pool,,占星术杀人魔法,1468605909.0
8,Animation,花开花落，再灿烂的星光也会消失。,圣斗士星矢,,水幻之音,1468605909.0
10,Animation,我是一个经常笑的人，可我不是经常开心的人。,未闻花名,,Sai,1468605909.0
11,Animation,努力是不会背叛自己的，虽然梦想有时会背叛自己。,我的青春恋爱物语果然有问题,,百花残,1468605909.0
12,Animation,人经历风浪是会变得更强，可是船不同，日积月累的只有伤痛。,海贼王,,Jonse,1468605909.0
13,Animation,真相只有一个！,柯南,,freejishu,1468605909.0
14,Animation,用你的笑容去改变这个世界，别让这个世界改变了你的笑容。,网络,,酱七,1468605909.0
15,Animation,我有在反省，但我不后悔。,物语系列,,billykingzero,1468605909.0
16,Animation,我没有梦想，但是我能保护！,假面骑士555,,魅影陌客,1468605909.0
17,Animation,或许只需一滴露水，便能守护这绽放的花朵。,反叛的鲁鲁修,,夜夜天天,1468605909.0
18,Animation,我不会让任何人看到我软弱的一面。,桔梗,,星之彼岸,1468605909.0
19,Animation,当你想做一件事，却无能为力的时候，是最痛苦的。,高达SEED,,矢野加奈,1468605909.0
20,Animation,我的腿让我停下，可是心却不允许我那么做。,钢之炼金术师,,Sakamoto,1468605909.0
23,Animation,像平常的你一样引发奇迹吧-,魔法少女小圆,,ludk60,1468605909.0
26,Animation,所谓的言语，只有当对方听进去了才开始有意义啊。,少年同盟,,alwaysandforever,1468605909.0
28,Animation,世界上没有一个人能代替另一个人。,人型电脑天使心,,夏红莲,1468605909.0
29,Animation,其实，恋爱这种东西，当你看上人家的那一刹那就已经失败了。,秋之回忆,,LT2142,1468605909.0
30,Animation,隐约雷鸣，阴霾天空，即使天无雨，我亦留此地。,言叶之庭,,_____丶X。,1468605909.0
31,Animation,就是因为你不好，才要留在你身边，给你幸福。,哈尔的移动城堡,,空城”旧梦,1468605909.0
33,Animation,少罗嗦，你还不如虫子呢！,迷糊餐厅,,萌朧意識,1468605909.0
34,Animation,别人恋爱不成功，你连暗恋都不成功！,灌篮高手,,Sai,1468605909.0
35,Animation,就算只有六十亿分之一的机会，我们还是会邂逅。,Angel Beats!,,灼思,1468605909.0
36,Animation,魔装少女就是本少爷！,这是僵尸吗？,,零之幻想,1468605909.0
38,Animation,勇气，就是即便害怕也会去做。,原创,,岛音。,1468605909.0
39,Animation,如果我不会飞，那我就只是一只普通的猪。,红猪,,anythink,1468605909.0
40,Animation,要相信同伴，拯救同伴。,绯弹的亚里亚,,星野望,1468605909.0
42,Animation,男人许下的诺言就一定要遵守。,海贼王,,南瓜酱,1468605909.0
43,Animation,那是，未满45秒的邂逅。,EF,,Mion,1468605909.0
